CALM,CASY,COKE,DECK,F,LANC,LOPE,LRN,ULTA,YUMC
0.0004135946342557413,-4.8780710309437735e-06,4.664534708554248e-05,-3.89746348915682e-06,6.641893690785168e-05,4.9660486710825135e-05,-7.875724272202829e-06,1.8308964112706728e-05,4.408207750289946e-05,1.1156463250929022e-05
-4.8780710309437735e-06,0.00019534639155599148,2.826253689189318e-05,4.077508147706716e-05,2.9300049849827222e-05,3.84859888637873e-05,2.460561296055767e-05,2.7775795691015156e-05,3.281586021568755e-05,1.7839601491173722e-05
4.664534708554248e-05,2.826253689189318e-05,0.00043394628993896064,3.699336570554582e-05,5.171588732412265e-05,2.988512821175541e-05,3.835614534737959e-05,3.396650835564806e-05,2.332982606237599e-05,1.1286378935951438e-05
-3.89746348915682e-06,4.077508147706716e-05,3.699336570554582e-05,0.0003866776916016276,2.1235052747817686e-05,1.679019460604154e-05,4.3281757913065134e-05,4.0062738146972294e-05,6.098351219405155e-05,5.3581311052602255e-05
6.641893690785168e-05,2.9300049849827222e-05,5.171588732412265e-05,2.1235052747817686e-05,0.0004929016042571634,2.9279142888924494e-05,3.3835707211251424e-05,3.015168614711355e-05,5.66139616327682e-05,6.687905439417664e-05
4.9660486710825135e-05,3.84859888637873e-05,2.988512821175541e-05,1.679019460604154e-05,2.9279142888924494e-05,0.00024121887691038062,2.2093987151191803e-05,6.909729975296971e-05,3.0363461379716195e-05,1.3467869956604434e-05
-7.875724272202829e-06,2.460561296055767e-05,3.835614534737959e-05,4.3281757913065134e-05,3.3835707211251424e-05,2.2093987151191803e-05,0.0002319941683078093,6.90183429472131e-05,3.9966073663935855e-05,7.412393491476724e-06
1.8308964112706728e-05,2.7775795691015156e-05,3.396650835564806e-05,4.0062738146972294e-05,3.015168614711355e-05,6.909729975296971e-05,6.90183429472131e-05,0.0007032394309954974,3.158616646969612e-05,1.1263128506938772e-05
4.408207750289946e-05,3.281586021568755e-05,2.332982606237599e-05,6.098351219405155e-05,5.66139616327682e-05,3.0363461379716195e-05,3.9966073663935855e-05,3.158616646969612e-05,0.0003091290506031991,4.439313789388513e-05
1.1156463250929022e-05,1.7839601491173722e-05,1.1286378935951438e-05,5.3581311052602255e-05,6.687905439417664e-05,1.3467869956604434e-05,7.412393491476724e-06,1.1263128506938772e-05,4.439313789388513e-05,0.00037916009831386987
