APP,DLO,FTNT,IMXI,ITRN,KARO,LYTS,NVEC,PSN,SATS
0.0017379227086872972,0.000227227937122159,0.0001480802625639955,0.00012850369624990961,5.967976399107851e-05,2.9531024956171274e-05,1.560825447715125e-05,0.00012209400136087753,2.7621614520019678e-05,6.275840067107123e-05
0.000227227937122159,0.0017501296688450653,0.00013715145220366865,0.00010251476176542728,9.073622561699294e-05,5.74327633629044e-05,9.11467963575423e-05,-3.850669054390398e-07,2.1333429131476828e-05,6.0257995217351844e-05
0.0001480802625639955,0.00013715145220366865,0.0006465887190007482,-7.74695557800053e-06,2.3584039114213133e-05,2.728301192908766e-06,3.990331945191015e-05,8.744612776582581e-05,6.628476058030371e-06,3.9841477384901866e-05
0.00012850369624990961,0.00010251476176542728,-7.74695557800053e-06,0.0005696192625034225,4.866901821235934e-05,5.8745657404259516e-05,7.620675786579282e-05,2.339584396913339e-05,-3.317596117608006e-05,3.729229752447177e-05
5.967976399107851e-05,9.073622561699294e-05,2.3584039114213133e-05,4.866901821235934e-05,0.00027381907903666145,9.373996137573681e-06,4.333080042622537e-05,6.274046110676005e-05,1.4271067872536541e-05,1.3223745948069641e-05
2.9531024956171274e-05,5.74327633629044e-05,2.728301192908766e-06,5.8745657404259516e-05,9.373996137573681e-06,0.0008579933619078168,-3.6065690032466376e-06,-1.5619964708603167e-05,3.566771918428919e-06,6.511462406148775e-05
1.560825447715125e-05,9.11467963575423e-05,3.990331945191015e-05,7.620675786579282e-05,4.333080042622537e-05,-3.6065690032466376e-06,0.0008809496907232243,0.00011191754575675345,3.879487049291073e-05,0.00011904898020853251
0.00012209400136087753,-3.850669054390398e-07,8.744612776582581e-05,2.339584396913339e-05,6.274046110676005e-05,-1.5619964708603167e-05,0.00011191754575675345,0.0007397740728437533,-8.012217458520812e-06,7.879098622957003e-05
2.7621614520019678e-05,2.1333429131476828e-05,6.628476058030371e-06,-3.317596117608006e-05,1.4271067872536541e-05,3.566771918428919e-06,3.879487049291073e-05,-8.012217458520812e-06,0.00020748993051363695,5.2720443631149106e-05
6.275840067107123e-05,6.0257995217351844e-05,3.9841477384901866e-05,3.729229752447177e-05,1.3223745948069641e-05,6.511462406148775e-05,0.00011904898020853251,7.879098622957003e-05,5.2720443631149106e-05,0.0012994394630373165
