,ALKS,AMGN,AMN,CVS,HRMY,HUM,INMD,MOH,PDCO,ROIV
ALKS,0.00043198644713942025,6.48209435771931e-05,8.314537904721224e-05,5.090711135045841e-05,0.00012066509701421914,2.315649409340899e-05,0.0001138657653990298,3.1602792579396265e-05,-2.4325037853371504e-05,0.00015218051910123224
AMGN,6.48209435771931e-05,0.0001705119930292745,-1.4434742132272749e-05,4.524403426844974e-05,3.7184108261064666e-05,2.169010149439662e-05,5.671839793735183e-05,4.798520751981361e-05,2.7891575422873163e-05,7.693147025219908e-05
AMN,8.314537904721224e-05,-1.4434742132272749e-05,0.0005512761929883524,3.385210822616379e-05,5.185536208112166e-05,5.547804549977433e-06,0.0002288268611840755,2.8571258080143676e-05,4.845301113335627e-05,4.1559354199747765e-05
CVS,5.090711135045841e-05,4.524403426844974e-05,3.385210822616379e-05,0.00023717588695149394,3.356170946344365e-05,0.00011752426999730614,4.040338699560796e-05,0.00011670128012712738,7.691078992384245e-05,2.0423367657097577e-05
HRMY,0.00012066509701421914,3.7184108261064666e-05,5.185536208112166e-05,3.356170946344365e-05,0.0015615973675734375,8.261230737165459e-05,0.00037198252552502376,2.771970311472061e-05,0.00012406069719569763,0.000246711749441936
HUM,2.315649409340899e-05,2.169010149439662e-05,5.547804549977433e-06,0.00011752426999730614,8.261230737165459e-05,0.0003010933285035458,-3.3642794724275545e-05,0.00018283150184433526,8.871961878974789e-05,-9.180799142421608e-06
INMD,0.0001138657653990298,5.671839793735183e-05,0.0002288268611840755,4.040338699560796e-05,0.00037198252552502376,-3.3642794724275545e-05,0.0011233068002302442,1.688111851814747e-05,7.266074226548589e-05,0.00029975279596659046
MOH,3.1602792579396265e-05,4.798520751981361e-05,2.8571258080143676e-05,0.00011670128012712738,2.771970311472061e-05,0.00018283150184433526,1.688111851814747e-05,0.0002878332249467421,8.556378410612077e-05,1.526417027215704e-05
PDCO,-2.4325037853371504e-05,2.7891575422873163e-05,4.845301113335627e-05,7.691078992384245e-05,0.00012406069719569763,8.871961878974789e-05,7.266074226548589e-05,8.556378410612077e-05,0.00044019380218502237,-2.2965464477000726e-05
ROIV,0.00015218051910123224,7.693147025219908e-05,4.1559354199747765e-05,2.0423367657097577e-05,0.000246711749441936,-9.180799142421608e-06,0.00029975279596659046,1.526417027215704e-05,-2.2965464477000726e-05,0.001619406484944801
